"","average","sd","ratio","ava","avb","cumsum","contrib","Domain","Phylum","Class","Order","Family","Genus","Species"
"f7447c8e079023f4f2579d8580575dd3",0.000159073555612115,0.000326412048894488,0.487339717240448,5,0,0.959075752306528,0.000511425239858476,"D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","unclassified"
"66f5b2996f252b3a9acd283f85639157",0.000159073555612115,0.000282681126443955,0.562731433871138,0,5,0.959587177546386,0.000511425239858365,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Allobaculum","D_6__uncultured bacterium"
"fb0aaf77d70b7973056619adab0f8948",0.000154301348943752,0.000225265702766494,0.684974885429841,3.8,1.75,0.960083260029049,0.000496082482662752,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Clostridiales vadinBB60 group","unclassified","unclassified"
"4533bf5ce3fb980fcb1a62e29b3b304b",0.00015271061338763,0.000208903711292472,0.731009575860672,1.6,4,0.960574228259313,0.000490968230264066,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Porphyromonadaceae","D_5__Butyricimonas","D_6__uncultured bacterium"
"b4ce250d67df3bb584320e56233968ec",0.000151119877831509,0.000268547070121757,0.562731433871138,0,4.75,0.961060082237179,0.000485853977865491,"D_0__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"c75208881d7bf118236d0c0ecd5c4e5a",0.000146347671163146,0.000300299084982929,0.487339717240448,4.6,0,0.961530593457848,0.000470511220669767,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"63749f93fa752451b71632e68523bb95",0.000146347671163146,0.000300299084982929,0.487339717240448,4.6,0,0.962001104678518,0.000470511220669767,"D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Leptotrichiaceae","unclassified","unclassified"
"aab34011dbef05b37728dd0970290296",0.000143166200050904,0.000192417065038591,0.744041075682088,3,2.5,0.962461387394391,0.000460282715872617,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium"
"604496b95ff62510686ca6324f867f6c",0.000143166200050904,0.000254413013799559,0.562731433871138,0,4.5,0.962921670110263,0.000460282715872617,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"7e4161552cf4b7361ff89f85623ef824",0.000139984728938661,0.000186483862831521,0.750653310228405,4.4,0,0.963371724321339,0.000450054211075357,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium"
"e2efc715cd7d2b5ea3d789873ab42820",0.000139984728938661,0.000129087608753788,1.08441646948204,2.6,4,0.963821778532414,0.000450054211075468,"D_0__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"e7ab4b543a03582976d41c0df48b69fe",0.000139984728938661,0.000287242603027149,0.487339717240448,4.4,0,0.96427183274349,0.000450054211075468,"D_0__Bacteria","D_1__Firmicutes","D_2__Negativicutes","D_3__Selenomonadales","D_4__Veillonellaceae","D_5__Dialister","D_6__uncultured bacterium"
"6c74c0e3054a78c260f4ac463faccd57",0.000139984728938661,0.000287242603027149,0.487339717240448,4.4,0,0.964721886954565,0.000450054211075357,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","D_4__uncultured bacterium","D_5__","D_6__"
"65b43ef12cd01434a8f7c309eccd229b",0.000139984728938661,0.000186483862831521,0.750653310228405,4.4,0,0.96517194116564,0.000450054211075468,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","unclassified","unclassified"
"a0802e2e9c9ac2458c64dc116dd71469",0.000136803257826419,0.000162911988732497,0.839737203448244,4.2,0.5,0.965611766871919,0.000439825706278207,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Tyzzerella 3","D_6__uncultured bacterium"
"a5aeea90e4cd57aaef3a6ed467e62bd9",0.000135212522270298,0.000125520182022612,1.0772173852165,4.4,1.25,0.966046478325798,0.000434711453879744,"D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Coriobacteriaceae","unclassified","unclassified"
"bb997ef8c8ab042222cb8ffe2b97e652",0.000133621786714177,0.00027418612107137,0.487339717240448,4.2,0,0.966476075527279,0.000429597201481058,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotella","unclassified"
"32791f2223336497abc2008dd8a3cc47",0.000133621786714177,0.00027418612107137,0.487339717240448,4.2,0,0.96690567272876,0.000429597201481058,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","unclassified"
"21bfcd8803ae6dfd8bd4f5ad6653fd32",0.000132031051158055,0.000202079113359538,0.653363175258725,3.4,1.25,0.967330155677843,0.000424482949082483,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-006","D_6__uncultured bacterium"
